Year,Country,Avg Temperature (°C),CO2 Emissions (Tons/Capita),Sea Level Rise (mm),Rainfall (mm),Population,Renewable Energy (%),Extreme Weather Events,Forest Area (%)
2006,UK,8.9,9.3,3.1,1441,530911230,20.4,14,59.8
2019,USA,31.0,4.8,4.2,2407,107364344,49.2,8,31.0
2014,France,33.9,2.8,2.2,1241,441101758,33.3,9,35.5
2010,Argentina,5.9,1.8,3.2,1892,1069669579,23.7,7,17.7
2007,Germany,26.9,5.6,2.4,1743,124079175,12.5,4,17.4
2020,China,32.3,1.4,2.7,2100,1202028857,49.4,12,47.2
2006,Argentina,30.7,11.6,3.9,1755,586706107,41.9,10,50.5
2018,South Africa,33.9,6.0,4.5,827,83947380,17.7,1,56.6
2022,UK,27.8,16.6,1.5,1966,980305187,8.2,4,43.4
2010,Australia,18.3,1.9,3.5,2599,849496137,7.5,5,48.7
2010,Indonesia,14.4,4.9,3.3,2466,1345958932,10.4,13,10.8
2023,South Africa,14.6,14.7,1.5,875,1311714067,31.1,14,19.7
2020,Brazil,26.7,12.2,1.8,762,1106863791,46.8,0,69.1
2003,USA,27.4,1.8,2.2,766,798905927,27.4,10,14.6
2007,Germany,11.0,17.6,1.7,2906,1179622755,42.9,3,50.7
2023,India,31.0,17.6,2.0,2444,365927452,25.1,8,20.6
2002,Russia,26.4,6.9,2.1,2393,29715260,36.9,1,53.0
2021,France,21.9,7.1,2.3,2401,680925261,37.9,4,52.4
2020,China,19.1,19.8,4.0,2152,1074542897,12.8,0,24.1
2001,Canada,21.3,12.7,3.3,1944,1189649940,21.3,3,26.2
2023,France,9.8,10.9,4.9,545,1311466901,33.7,3,49.3
2011,Mexico,11.1,16.8,2.7,1099,250843348,8.2,5,33.4
2005,India,7.7,6.1,4.0,1219,588745515,21.3,9,21.7
2001,Indonesia,9.6,8.9,4.5,2412,300442653,29.1,8,53.9
2020,Russia,18.6,5.7,3.7,1792,11186886,49.8,2,19.2
2000,India,20.9,15.9,2.6,1100,1237433800,26.4,8,61.3
2011,Australia,5.5,11.7,4.0,880,966063065,41.7,5,40.9
2021,USA,28.9,13.3,1.8,617,1019475941,24.4,6,16.3
2011,UK,13.8,5.4,2.3,2663,158680885,40.8,11,51.6
2016,China,32.4,4.8,3.2,759,1358197397,31.8,9,41.1
2009,Japan,34.0,10.0,3.3,1598,176809981,44.9,1,27.9
2015,USA,10.6,14.9,1.1,2003,52552633,23.5,10,35.4
2014,Japan,18.9,10.7,4.8,2852,214294469,32.2,9,27.9
2014,South Africa,5.0,1.1,3.8,2554,227838160,33.4,13,25.8
2018,UK,22.9,17.4,3.0,865,531510898,23.8,5,19.8
2011,Russia,23.2,1.8,4.7,2157,1034642225,11.5,5,31.8
2022,Germany,12.4,19.1,2.8,1961,272039781,9.2,1,25.1
2019,Canada,21.8,1.0,4.9,2524,1395185778,5.8,1,51.0
2002,Brazil,11.8,14.0,3.0,2976,367803209,44.3,13,51.0
2004,Argentina,9.8,2.1,1.5,1290,742981303,15.6,1,40.1
2018,UK,24.5,18.3,4.1,1246,78354231,14.5,9,56.7
2006,USA,14.8,9.6,3.7,2914,772375173,38.1,11,60.5
2020,China,22.7,3.2,4.1,812,491426196,19.4,0,44.8
2008,Argentina,18.0,7.1,4.8,1037,1209391736,27.8,4,47.1
2006,Mexico,34.5,3.7,4.1,1420,1017231293,12.3,7,27.0
2017,Mexico,9.5,3.8,3.4,1577,1216476753,48.2,1,63.7
2003,India,18.9,19.0,4.4,1990,322675191,43.3,12,11.5
2013,Argentina,25.4,9.2,3.7,2881,1075399963,43.9,14,30.9
2017,China,16.9,15.9,2.6,1297,456955256,23.3,4,53.3
2008,Russia,34.2,13.0,4.5,847,1031018863,39.3,11,14.8
2020,South Africa,26.7,13.7,1.9,772,491644777,11.5,7,21.0
2001,Japan,24.7,3.1,3.9,1219,838339418,5.4,9,45.4
2019,India,27.7,5.1,4.5,2273,1097734281,5.9,13,43.6
2014,Mexico,33.6,15.8,3.9,1184,22094509,31.4,4,54.3
2006,Brazil,32.2,19.4,3.8,2626,1155260147,25.5,1,58.8
2011,Brazil,26.7,5.6,4.0,1121,267058271,28.3,2,17.7
2007,USA,27.5,5.8,2.9,2539,330887513,5.3,14,11.1
2014,Russia,9.4,9.7,4.5,1446,513004938,24.0,5,51.4
2002,Germany,8.1,19.7,1.8,2905,1254853974,37.3,10,28.1
2013,Mexico,22.1,5.7,1.5,1006,157599009,24.9,10,47.6
2016,Indonesia,5.6,8.4,2.1,2082,227533555,37.9,4,19.0
2003,Russia,19.5,17.9,3.1,743,507687964,15.5,10,38.1
2017,South Africa,11.3,0.6,3.0,1005,941922654,41.6,3,40.3
2007,Japan,15.4,1.3,4.3,921,194923647,31.5,3,45.1
2003,China,28.3,12.3,2.6,2764,205087750,14.5,4,40.8
2001,Argentina,33.2,18.2,2.9,2372,1078565697,15.7,1,39.7
2005,Mexico,7.2,5.2,1.1,1692,1128035409,33.3,8,30.0
2021,Argentina,21.0,9.7,2.6,829,432913646,42.3,1,14.3
2009,Brazil,31.5,9.3,3.6,1149,172465953,23.7,9,15.4
2003,China,7.5,9.7,1.1,1964,502277267,16.6,1,36.0
2021,China,29.7,12.6,2.1,890,334345649,44.0,9,31.3
2017,China,15.7,9.7,1.8,2019,305543477,35.1,13,41.0
